Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;ExposedByStudent;ExposedByWorker;ExposedByRetired;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
27;0;0;190324;368929;178027;79999;298479;4;3;66;0;68;0;0;0;5;0;0;0;0;0;0;3;0;70;0;3;87;8;3;56;0;0;29;0;0;5;0;0;36;0;0;4;0;0;58;10;9;21;565819;199405;146553;0;565248;0;0;40054;10064411265;0;204750;10309;42839;0;
28;0;0;190324;368928;178027;79999;298425;5;7;61;0;64;0;0;0;9;0;0;0;0;0;0;4;4;65;1;1;94;5;8;65;1;0;21;0;0;7;0;1;48;0;0;6;3;2;48;8;6;33;563313;199658;145554;0;564578;0;0;41336;10064473783;0;204779;10309;42810;0;
29;0;0;190324;368927;178027;79999;298379;2;11;116;0;120;0;0;0;9;0;0;0;0;0;0;3;8;118;0;1;73;2;12;44;0;1;19;0;0;7;0;1;42;0;0;4;0;4;57;7;7;56;565704;199348;146391;0;565054;0;0;42216;10064344931;0;204327;10309;43262;0;
30;0;0;190324;368927;178027;79999;298332;3;12;114;0;120;0;0;0;9;0;0;0;0;0;0;5;7;117;0;3;85;4;10;26;0;0;25;0;0;8;0;0;42;0;0;5;0;2;51;6;5;39;563407;199723;145502;0;564022;0;0;43632;10064240567;0;203819;10309;43770;0;
31;0;0;190324;368927;178027;79999;298285;3;6;92;0;96;0;0;0;5;0;0;0;0;0;0;3;4;94;0;0;68;7;8;34;0;0;12;0;0;13;0;0;34;0;0;13;0;2;56;7;6;33;565822;199462;146238;0;565179;0;0;47224;10063982679;0;203406;10309;44183;0;
32;0;0;190324;368927;178027;79999;298229;7;9;78;0;87;0;0;0;7;0;0;0;0;0;0;6;8;80;0;1;51;8;11;37;0;0;5;0;0;14;0;0;44;0;0;12;0;3;73;5;6;43;563868;199646;145438;0;563679;1;0;44508;10064079837;0;203674;10309;43915;0;
33;0;0;190324;368927;178027;79999;298182;5;18;140;0;153;0;0;0;10;0;0;0;0;0;0;5;15;143;0;2;52;4;4;39;0;1;8;0;0;7;0;0;39;0;0;8;0;2;59;4;6;51;565289;199244;146232;0;564660;0;0;49120;10064361995;0;204024;10309;43565;0;
34;0;0;190323;368927;178027;79999;298132;4;23;144;0;159;0;0;0;12;0;0;0;0;0;0;1;20;150;0;0;57;4;7;50;0;0;12;0;0;13;1;0;42;0;0;8;0;4;63;9;8;26;564045;199714;145557;0;563487;0;0;47226;10064194707;0;204055;10309;43534;0;
35;0;0;190323;368927;178027;79999;298094;4;14;124;0;129;0;0;0;13;0;0;0;0;0;0;4;12;126;0;1;43;2;6;34;0;0;5;0;0;10;0;0;25;0;0;13;0;4;55;5;8;37;565312;199431;146141;0;564102;0;0;52774;10064197143;0;203746;10309;43843;0;
36;0;0;190323;368926;178026;79999;298049;6;20;184;0;191;0;0;0;19;0;0;0;0;0;0;5;15;190;0;1;72;7;9;38;0;0;5;0;0;19;0;1;33;0;0;12;0;1;53;5;9;50;563768;199537;145537;0;563764;0;0;52110;10064033945;0;203336;10309;44253;0;
37;0;0;190322;368926;178026;79999;298015;8;18;223;0;225;0;0;0;24;0;0;0;0;0;0;6;20;223;0;2;60;7;13;35;0;1;17;0;0;7;1;0;29;0;0;5;0;3;49;4;9;49;565488;199117;146079;0;564734;0;0;51738;10064008365;0;202916;10309;44673;0;
38;0;0;190322;368925;178026;79999;297989;12;18;172;0;173;0;0;0;29;0;0;0;0;0;0;11;16;175;0;2;65;3;11;51;0;0;7;0;0;10;0;1;17;0;0;9;0;1;51;6;7;44;563459;199586;145522;0;563812;0;0;56754;10063835225;0;202497;10309;45093;0;
39;0;0;190322;368925;178026;79999;297954;10;15;132;0;141;0;0;0;16;0;0;0;0;0;0;3;12;142;0;0;76;2;8;45;0;0;17;0;0;8;0;0;29;0;0;6;0;1;60;3;4;42;565077;199245;146071;0;564478;1;0;54556;10063875455;0;202557;10309;45033;0;
40;0;0;190322;368925;178026;79999;297922;7;25;140;0;150;0;0;0;22;0;0;0;0;0;0;8;15;149;0;6;84;6;13;65;0;0;24;0;2;10;0;0;23;0;0;9;0;2;56;9;11;38;563230;199426;145483;0;563386;0;0;60264;10063831143;0;202822;10309;44768;0;
41;0;0;190322;368925;178026;79999;297899;8;13;135;0;146;0;0;0;10;0;0;0;0;0;0;4;13;139;0;7;104;6;7;44;0;2;45;0;0;6;0;0;16;0;0;7;0;0;47;3;7;41;564918;199116;146018;0;564114;0;0;60286;10064078399;0;203061;10309;44529;0;
42;0;0;190322;368924;178026;79999;297879;3;11;127;0;128;0;0;0;13;0;0;0;0;0;0;6;13;122;1;2;92;3;22;45;0;0;37;0;0;15;0;1;9;0;0;11;0;1;43;4;6;48;563059;199403;145510;0;563358;0;0;59096;10064003149;0;202912;10309;44678;0;
43;0;0;190322;368924;178026;79999;297869;12;12;118;0;132;0;0;0;10;0;0;0;0;0;0;5;3;134;1;3;108;4;9;67;0;1;44;0;0;6;0;0;5;0;0;5;0;1;31;5;10;31;565056;199121;145945;0;564413;0;0;61558;10064031519;0;202689;10309;44901;0;
44;0;0;190322;368924;178026;79999;297853;3;16;136;0;145;0;0;0;10;0;0;0;0;0;0;1;14;140;2;3;87;3;15;54;0;0;32;0;0;17;0;0;6;0;0;10;0;0;41;5;6;38;563072;199280;145511;0;563530;0;0;61578;10063928957;0;202861;10309;44729;0;
45;0;0;190322;368924;178026;79999;297831;4;6;132;0;130;0;0;0;11;0;0;0;1;0;0;3;7;132;0;1;97;10;18;54;0;0;35;0;0;12;0;0;13;0;0;9;0;0;39;4;11;46;564720;199294;145854;0;564267;0;0;67630;10063977447;0;202898;10309;44692;0;
46;0;0;190322;368923;178026;79999;297815;8;10;150;0;153;0;0;0;15;0;0;0;0;0;0;5;9;154;0;3;94;7;14;61;0;0;16;0;0;12;0;1;10;0;0;6;0;0;55;5;7;40;563472;199392;145519;0;563424;0;0;68236;10064015069;0;202948;10309;44642;0;
47;0;0;190322;368923;178026;79999;297790;9;11;136;0;143;0;0;0;13;0;0;0;0;0;0;6;9;141;1;2;88;8;12;64;0;0;18;0;0;6;0;0;19;0;0;6;0;5;46;6;12;55;564408;199258;145726;0;563808;0;0;68702;10064032199;0;202856;10309;44734;0;
48;0;0;190322;368922;178025;79999;297774;7;14;125;0;130;0;0;0;16;0;0;0;0;0;0;4;12;130;0;3;76;5;5;59;0;0;10;0;0;7;0;0;12;0;1;4;0;2;56;4;12;41;563419;199237;145510;0;562899;0;0;67874;10063983741;0;202820;10309;44770;0;
49;0;0;190322;368922;178025;79999;297747;6;13;102;0;108;0;0;0;13;0;0;0;0;0;0;1;5;115;0;3;87;4;17;49;0;0;11;0;0;15;0;0;16;0;0;11;0;0;49;6;11;45;563862;199172;145814;0;563772;0;0;72954;10063901807;0;202613;10309;44977;0;
