ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;880672;620;0;620;40;0;371;52;0;569;69;10;13;5328;0;5038;158;132;750;0;750;7;0;7;7;0;0;66;0;7;880422;154365;91620;0;255229;0;880688;2577;2751;5328;0;0;0;0;0;268;0;0
0;880663;605;0;605;45;0;372;67;0;568;83;10;19;5337;0;5047;158;132;752;0;752;10;0;10;10;0;0;71;0;3;880425;154419;91664;0;254806;0;880672;2581;2756;5337;0;0;0;0;0;269;0;0
0;880654;623;0;623;41;0;379;44;0;553;61;11;13;5346;0;5055;159;132;731;0;731;4;0;4;4;0;0;68;0;1;880446;154379;91549;0;254747;0;880663;2583;2763;5346;0;0;0;0;0;270;0;0
0;880650;589;0;589;47;0;393;67;0;562;85;16;13;5350;0;5059;159;132;742;0;742;9;0;9;8;1;0;73;0;1;880366;154222;91452;0;253785;0;880654;2583;2767;5350;0;0;0;0;0;271;0;0
0;880641;594;0;594;38;0;398;58;0;552;69;16;11;5359;0;5068;159;132;732;0;732;7;0;7;6;0;1;72;0;0;880360;154195;91383;0;253059;0;880650;2584;2775;5359;0;0;0;0;0;272;0;0
0;880634;603;0;603;40;0;404;52;0;536;69;12;11;5366;0;5075;159;132;736;0;736;10;0;10;10;0;0;75;0;0;880414;154173;91260;0;252694;0;880641;2584;2782;5366;0;0;0;0;0;273;0;0
0;880629;591;0;591;46;0;410;47;0;522;67;13;13;5371;0;5080;159;132;762;0;762;8;0;8;6;2;0;78;0;0;880392;153983;91359;0;252680;0;880634;2584;2787;5371;0;0;0;0;0;274;0;0
0;880622;603;0;603;40;0;421;59;0;530;66;18;15;5378;0;5086;159;133;721;0;721;3;0;3;3;0;0;74;0;0;880379;154076;91178;0;252526;0;880629;2584;2794;5378;0;0;0;0;0;275;0;0
0;880613;611;0;611;39;0;420;56;0;539;79;8;8;5387;0;5095;159;133;702;0;702;7;0;7;7;0;0;72;0;0;880345;153929;91139;0;252327;0;880622;2584;2803;5387;0;0;0;0;0;276;0;0
0;880603;620;0;620;36;0;404;51;0;544;70;7;10;5397;0;5105;159;133;694;0;694;4;0;4;4;0;0;66;0;0;880388;154019;91106;0;252110;0;880613;2584;2813;5397;0;0;0;0;0;277;0;0
0;880595;605;0;605;28;0;383;71;0;565;73;13;13;5405;0;5113;159;133;693;0;693;9;0;9;9;0;0;67;0;0;880334;153735;90987;0;252231;0;880603;2584;2821;5405;0;0;0;0;0;278;0;0
0;880590;607;0;607;43;0;384;46;0;538;67;14;8;5410;0;5118;159;133;710;0;710;11;0;11;9;1;1;73;0;0;880333;153707;90856;0;251455;0;880595;2584;2826;5410;0;0;0;0;0;279;0;0
0;880582;589;0;589;37;0;380;56;0;544;58;18;17;5418;0;5125;159;134;717;0;717;3;0;3;3;0;0;68;0;0;880359;153714;90962;0;250901;0;880590;2584;2834;5418;0;0;0;0;0;280;0;0
0;880577;570;0;570;67;0;397;49;0;536;91;18;7;5423;0;5129;160;134;722;0;722;13;0;13;10;3;0;76;0;0;880327;153498;90697;0;250689;0;880582;2584;2839;5423;0;0;0;0;0;281;0;0
0;880567;569;0;569;43;0;401;54;0;542;72;16;9;5433;0;5139;160;134;704;0;704;9;0;9;9;0;0;75;0;0;880357;153504;90766;0;250367;0;880577;2584;2849;5433;0;0;0;0;0;282;0;0
0;880560;562;0;562;41;0;408;51;0;528;67;7;18;5440;0;5145;161;134;715;0;715;8;0;8;5;0;3;76;0;0;880333;153353;90758;0;249629;0;880567;2584;2856;5440;0;0;0;0;0;283;0;0
0;880557;546;0;546;34;0;415;56;0;528;67;8;15;5443;0;5148;161;134;727;0;727;5;0;5;4;1;0;78;0;0;880344;153504;90707;0;249521;0;880560;2584;2859;5443;0;0;0;0;0;284;0;0
0;880549;557;0;557;37;0;409;56;0;523;67;16;10;5451;0;5155;162;134;728;0;728;8;0;8;7;1;0;78;0;0;880321;153307;90571;0;249959;0;880557;2584;2867;5451;0;0;0;0;0;285;0;0
0;880541;558;0;558;33;0;406;49;0;511;61;9;12;5459;0;5163;162;134;732;0;732;8;0;8;8;0;0;78;0;0;880330;153396;90604;0;249557;0;880549;2584;2875;5459;0;0;0;0;0;286;0;0
0;880535;550;0;550;50;0;414;52;0;526;70;18;14;5465;0;5168;162;135;707;0;707;12;0;12;11;0;1;84;0;0;880314;153361;90450;0;249078;0;880541;2584;2881;5465;0;0;0;0;0;287;0;0
0;880529;549;0;549;47;0;415;57;0;526;75;16;13;5471;0;5173;163;135;706;0;706;13;0;13;13;0;0;91;0;0;880290;153138;90440;0;248932;0;880535;2584;2887;5471;0;0;0;0;0;288;0;0
0;880515;587;0;587;27;0;394;34;0;498;37;13;11;5485;0;5186;164;135;710;0;710;5;0;5;5;0;0;82;0;0;880312;153236;90454;0;248737;0;880529;2584;2901;5485;0;0;0;0;0;289;0;0
0;880502;593;0;593;39;0;391;54;0;505;62;16;15;5498;0;5196;166;136;694;0;694;7;0;7;7;0;0;76;0;0;880271;153083;90394;0;248632;0;880515;2584;2914;5498;0;0;0;0;0;290;0;0
0;880498;597;0;597;31;0;378;54;0;506;59;12;14;5502;0;5200;166;136;699;0;699;7;0;7;6;1;0;79;0;0;880299;152875;90277;0;248214;0;880502;2584;2918;5502;0;0;0;0;0;291;0;0
0;880490;590;0;590;43;0;381;48;0;488;60;16;15;5510;0;5207;166;137;719;0;719;11;0;11;10;1;0;82;0;0;880256;152958;90115;0;248146;0;880498;2584;2926;5510;0;0;0;0;0;292;0;0
0;880482;592;0;592;41;0;375;48;0;487;67;10;12;5518;0;5213;167;138;714;0;714;8;0;8;8;0;0;82;0;0;880259;153010;90182;0;247662;0;880490;2584;2934;5518;0;0;0;0;0;293;0;0
0;880478;584;0;584;42;0;388;58;0;496;74;12;14;5522;0;5217;167;138;701;0;701;13;0;13;11;2;0;91;0;0;880272;153042;90215;0;247694;0;880482;2584;2938;5522;0;0;0;0;0;294;0;0
0;880469;577;0;577;34;0;382;63;0;515;65;20;12;5531;0;5225;168;138;683;0;683;9;0;9;8;0;1;91;0;0;880225;152847;90020;0;247477;0;880478;2584;2947;5531;0;0;0;0;0;295;0;0
0;880463;574;0;574;43;0;396;51;0;512;73;7;14;5537;0;5231;168;138;672;0;672;5;0;5;5;0;0;90;0;0;880235;152682;89926;0;247410;0;880469;2584;2953;5537;0;0;0;0;0;296;0;0
0;880450;565;0;565;44;0;399;55;0;516;79;9;11;5550;0;5244;168;138;654;0;654;9;0;9;7;1;1;86;0;0;880228;152735;89899;0;246811;0;880463;2584;2966;5550;0;0;0;0;0;297;0;0
0;880443;546;0;546;39;0;397;60;0;518;80;8;11;5557;0;5251;168;138;671;0;671;13;0;13;13;0;0;92;0;0;880159;152618;89750;0;246123;0;880450;2584;2973;5557;0;0;0;0;0;298;0;0
0;880432;572;0;572;35;0;388;43;0;522;59;11;8;5568;0;5261;169;138;645;0;645;4;0;4;3;0;1;85;0;0;880205;152664;89754;0;246153;0;880443;2584;2984;5568;0;0;0;0;0;299;0;0
0;880426;570;0;570;36;0;386;49;0;519;65;11;9;5574;0;5266;169;139;641;0;641;3;0;3;3;0;0;82;0;0;880169;152480;89715;0;246267;0;880432;2584;2990;5574;0;0;0;0;0;300;0;0
0;880420;568;0;568;43;0;384;47;0;520;61;16;13;5580;0;5271;170;139;648;0;648;10;0;10;9;1;0;86;0;0;880186;152478;89741;0;245931;0;880426;2584;2996;5580;0;0;0;0;0;301;0;0
0;880415;548;0;548;48;0;400;54;0;506;72;17;13;5585;0;5275;171;139;660;0;660;10;0;10;9;0;1;91;0;0;880185;152460;89618;0;245580;0;880420;2584;3001;5585;0;0;0;0;0;302;0;0
0;880400;538;0;538;41;0;401;43;0;490;56;19;9;5600;0;5290;171;139;666;0;666;7;0;7;4;1;2;83;0;0;880174;152275;89562;0;245675;0;880415;2584;3016;5600;0;0;0;0;0;303;0;0
0;880388;537;0;537;34;0;392;51;0;491;60;10;15;5612;0;5300;172;140;667;0;667;8;0;8;7;0;1;79;0;0;880166;152284;89495;0;245773;0;880400;2584;3028;5612;0;0;0;0;0;304;0;0
0;880379;531;0;531;37;0;388;55;0;481;72;12;8;5621;0;5308;173;140;679;0;679;8;0;8;8;0;0;78;0;0;880141;152238;89442;0;245572;0;880388;2584;3037;5621;0;0;0;0;0;305;0;0
0;880371;513;0;513;39;0;387;51;0;482;65;14;11;5629;0;5315;173;141;686;0;686;9;0;9;8;0;1;79;0;0;880124;152118;89386;0;243997;0;880379;2584;3045;5629;0;0;0;0;0;306;0;0
