Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
23;0;0;190313;368914;177753;80200;297757;91;94;1149;0;1168;1;2;0;2;0;22;0;12;0;127;3;3;1;2;8;37;86;83;1111;0;0;0;0;0;0;14;24;796;49;50;247;6;4;454;0;0;11;2;3;115;0;0;10;3;11;147;28;29;220;567258;199899;147131;0;566287;0;0;63328;10064986915;0;206379;10208;41219;0;
24;0;0;190311;368914;177753;80200;297618;124;167;2240;0;2431;1;3;0;0;0;23;0;25;0;48;6;2;6;2;7;7;116;158;2227;0;0;0;0;0;0;9;20;690;53;45;212;2;8;355;0;0;11;2;0;131;0;0;8;6;7;128;29;31;255;565846;200370;145866;0;566245;0;0;47114;10065138267;0;206335;10208;41263;0;
25;0;0;190311;368912;177753;80199;297478;207;200;2298;0;2601;0;3;0;0;0;31;0;17;0;53;3;2;2;1;7;15;203;191;2281;0;0;0;0;0;0;10;28;657;49;54;201;2;7;283;0;0;11;0;2;129;0;0;11;3;7;150;30;32;218;566736;199871;147050;0;566411;0;0;38734;10064607497;0;205111;10208;42487;0;
26;0;0;190311;368909;177751;80198;297328;140;195;1617;0;1866;1;1;0;0;0;52;0;21;0;11;1;4;3;3;4;5;136;187;1609;0;0;0;0;0;0;6;22;613;62;50;209;0;2;275;0;0;10;0;3;141;0;0;9;3;10;188;24;34;231;564350;200633;145693;0;565058;0;0;42556;10064555121;0;205053;10208;42545;0;
27;0;0;190309;368906;177749;80198;297113;183;223;2134;0;2347;1;5;0;0;0;27;1;6;0;153;5;0;1;7;14;13;171;209;2120;0;0;0;0;0;0;16;32;675;50;42;227;2;6;331;0;0;14;2;3;203;0;0;12;5;12;208;33;32;277;565964;200092;146921;0;565563;0;0;64598;10064555229;0;204679;10208;42919;0;
28;0;0;190309;368902;177746;80198;296840;176;282;2776;0;3093;1;4;0;0;0;56;0;24;0;56;6;3;29;1;8;12;169;271;2735;0;0;0;0;0;0;14;31;980;75;75;253;5;7;485;0;0;16;0;4;261;0;0;12;2;13;301;23;31;222;563219;200373;145924;0;564637;0;0;42702;10064550365;0;204566;10208;43032;0;
29;0;0;190308;368900;177744;80198;296476;186;222;1504;0;1619;1;4;0;0;0;34;0;21;0;233;5;4;5;3;23;22;178;195;1477;0;0;0;0;0;0;16;54;1217;98;85;241;5;11;607;0;0;9;1;2;357;0;0;7;6;11;349;30;26;232;565628;200068;146826;0;564815;0;0;41318;10064401205;0;203996;10208;43602;0;
30;0;0;190304;368896;177741;80197;296044;243;292;3881;0;4254;1;2;0;0;0;66;1;20;0;72;2;3;5;6;17;36;235;272;3840;0;0;0;0;0;0;23;51;1383;93;82;281;6;11;668;0;0;10;4;4;422;0;0;10;6;22;386;49;48;239;563034;200354;145772;0;563540;0;0;44462;10064317271;0;203485;10208;44113;0;
31;0;0;190304;368889;177737;80196;295595;216;243;1518;0;1699;3;1;0;0;0;59;0;25;0;190;8;6;5;5;23;24;203;214;1489;0;0;0;0;0;0;28;54;1521;116;101;366;5;7;798;1;0;10;0;7;440;0;0;9;7;12;373;69;40;218;565276;200123;146738;0;564579;0;0;42898;10064034353;0;203054;10208;44544;0;
32;0;0;190303;368885;177734;80195;295113;168;262;1824;0;2046;1;5;0;0;0;97;0;39;0;66;6;2;7;3;19;37;159;241;1780;0;0;0;0;0;0;23;91;1573;121;107;483;5;16;776;0;1;5;1;4;477;0;0;5;10;21;419;46;36;259;563021;200428;145834;0;562677;0;0;55270;10064166357;0;203393;10208;44205;0;
