Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
27;0;0;190323;368910;178156;80050;298509;24;62;41;0;53;0;0;0;74;0;0;0;0;0;0;3;22;20;36;71;28;0;4;3;0;3;8;0;1;19;0;0;0;2;24;36;27;70;45;4065;1522;637;0;4187;872;0;13130;10076255501;0;243987;13689;343;0;
28;0;0;190323;368910;178156;80050;298500;18;59;39;0;50;0;0;0;66;0;0;0;0;0;0;2;22;27;18;53;42;0;3;3;0;0;9;0;0;7;0;0;2;6;27;19;37;57;34;3315;1267;528;0;3368;645;0;13130;10076281889;0;244064;13677;277;0;
29;0;0;190323;368910;178156;80050;298492;15;55;50;0;43;0;0;0;77;0;0;0;0;0;0;6;27;28;28;65;23;2;4;2;0;4;8;0;0;6;0;0;2;3;20;25;37;66;30;2716;1039;416;0;2788;549;0;13130;10076301467;0;244123;13671;225;0;
30;0;0;190323;368910;178156;80050;298484;19;73;40;0;61;0;0;0;71;0;0;0;0;0;0;4;17;24;22;47;23;1;0;0;0;1;11;0;0;6;0;0;2;1;37;26;26;85;36;2245;873;346;0;2291;457;0;13130;10076315627;0;244164;13668;187;0;
31;0;0;190323;368907;178155;80050;298480;15;63;56;0;47;0;0;0;87;0;0;0;0;0;0;4;22;21;20;54;25;0;0;0;0;3;8;0;3;3;0;0;1;4;23;37;25;56;28;1845;721;264;0;1883;353;0;13130;10076332941;0;244207;13666;146;0;
32;0;0;190322;368906;178155;80050;298466;17;64;37;0;52;0;0;0;66;0;0;0;0;0;0;2;19;27;20;51;30;0;0;0;0;1;12;1;1;10;0;0;4;5;30;16;32;71;41;1522;607;217;0;1537;312;0;13130;10076338407;0;244237;13660;122;0;
33;0;0;190322;368904;178154;80050;298452;18;71;40;0;51;0;0;0;78;0;0;0;0;0;0;2;17;19;16;56;24;0;0;1;1;2;10;0;2;12;0;0;2;1;21;30;33;75;38;1240;519;177;0;1285;223;0;13130;10076346755;0;244260;13658;101;0;
34;0;0;190322;368902;178153;80049;298443;20;66;35;0;47;0;0;0;74;0;0;0;0;0;0;0;24;23;23;39;21;0;2;3;0;3;8;0;2;8;0;0;1;5;25;25;33;52;26;1061;442;142;0;1063;200;0;13130;10076351469;0;244279;13655;85;0;
35;0;0;190320;368902;178153;80049;298435;12;72;38;0;51;0;0;0;71;0;0;0;0;0;0;1;19;18;18;45;21;0;4;4;0;0;3;2;0;8;0;0;0;2;19;28;35;60;30;872;364;113;0;900;172;0;13130;10076358513;0;244297;13653;69;0;
36;0;0;190320;368902;178153;80049;298431;14;79;43;0;53;0;0;0;83;0;0;0;0;0;0;0;17;16;17;47;27;0;0;0;0;3;9;0;0;3;0;0;1;3;20;25;30;62;27;730;312;93;0;740;137;0;13130;10076361381;0;244306;13651;62;0;
37;0;0;190320;368902;178153;80049;298423;14;79;49;0;59;0;0;0;83;0;0;0;0;0;0;1;14;27;13;47;25;1;1;5;0;1;11;0;0;6;0;0;2;2;16;28;28;54;32;608;258;80;0;610;116;0;13130;10076364903;0;244322;13649;48;0;
38;0;0;190320;368901;178152;80049;298419;20;67;34;0;50;0;0;0;71;0;0;0;0;0;0;2;18;12;10;49;24;0;0;2;2;3;4;0;0;2;0;1;2;7;23;12;30;61;26;504;219;69;0;509;98;0;13130;10076371295;0;244338;13646;35;0;
39;0;0;190320;368900;178152;80048;298416;23;70;37;0;51;0;0;0;79;0;0;0;0;0;0;3;22;11;16;31;21;0;0;0;2;6;5;0;1;2;0;0;1;4;17;23;28;59;34;425;193;55;0;428;65;0;13130;10076370189;0;244339;13645;35;0;
