Days;Hours;Minutes;Students;StudentsInfected;Workers;WorkersInfected;OccupiedWorkers;OccupiedWorkersInfected;EssentialJobWorkers;EssentialJobWorkersInfected;Retired;RetiredInfected;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;MinutesAtWorkWorkerSusceptible;MinutesAtSchoolWorkerSusceptible;MinutesAtHomeWorkerSusceptible;MinutesAtFriendHomeWorkerSusceptible;MinutesAtGymWorkerSusceptible;MinutesAtPubWorkerSusceptible;MinutesAtWorkStudentSusceptible;MinutesAtSchoolStudentSusceptible;MinutesAtHomeStudentSusceptible;MinutesAtFriendHomeStudentSusceptible;MinutesAtGymStudentSusceptible;MinutesAtPubStudentSusceptible;MinutesAtWorkRetiredSusceptible;MinutesAtSchoolRetiredSusceptible;MinutesAtHomeRetiredSusceptible;MinutesAtFriendHomeRetiredSusceptible;MinutesAtGymRetiredSusceptible;MinutesAtPubRetiredSusceptible;MinutesAtWorkWorkerInfected;MinutesAtSchoolWorkerInfected;MinutesAtHomeWorkerInfected;MinutesAtFriendHomeWorkerInfected;MinutesAtGymWorkerInfected;MinutesAtPubWorkerInfected;MinutesAtWorkStudentInfected;MinutesAtSchoolStudentInfected;MinutesAtHomeStudentInfected;MinutesAtFriendHomeStudentInfected;MinutesAtGymStudentInfected;MinutesAtPubStudentInfected;MinutesAtWorkRetiredInfected;MinutesAtSchoolRetiredInfected;MinutesAtHomeRetiredInfected;MinutesAtFriendHomeRetiredInfected;MinutesAtGymRetiredInfected;MinutesAtPubRetiredInfected;
26;0;0;196560;3;381024;5;184201;4;82604;1;308416;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6.651863E+07;0;1.737738E+08;0;1.182212E+07;4.682817E+07;0;4.98917E+07;1.285645E+08;0;1.042214E+07;3.713538E+07;0;0;5.165374E+08;0;1.79039E+07;7.474113E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;0;0;196560;3;381024;5;184201;4;82604;1;308416;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.641692E+07;0;1.454734E+08;0;1.530847E+07;4.69799E+07;0;4.992772E+07;1.268754E+08;0;9424958;3.872241E+07;0;0;4.749044E+08;0;2.830941E+07;7.207876E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;0;0;196560;4;381024;4;184201;3;82604;1;308416;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6.646906E+07;0;1.651921E+08;0;1.267796E+07;4.579543E+07;0;4.980704E+07;1.264724E+08;0;1.042172E+07;3.683023E+07;0;0;5.034634E+08;0;1.84404E+07;7.342451E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;0;0;196560;4;381024;3;184201;2;82604;1;308416;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6.651482E+07;0;1.469732E+08;0;1.565565E+07;4.665274E+07;0;4.990511E+07;1.26931E+08;0;9572782;3.909041E+07;0;0;4.718348E+08;0;2.859908E+07;7.146093E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;0;0;196560;3;381024;3;184201;2;82604;1;308416;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;6.649917E+07;0;1.658091E+08;0;1.235882E+07;4.628249E+07;0;4.981107E+07;1.270722E+08;0;1.040003E+07;3.707364E+07;0;0;5.034405E+08;0;1.832943E+07;7.423675E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;0;0;196560;3;381024;3;184201;2;82604;1;308416;6;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.634727E+07;0;1.470028E+08;0;1.543281E+07;4.646063E+07;0;4.983692E+07;1.27586E+08;0;9348334;3.881534E+07;0;0;4.704253E+08;0;2.697629E+07;7.28601E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;0;0;196560;3;381024;3;184201;2;82604;0;308416;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6.656168E+07;0;1.664115E+08;0;1.203967E+07;4.708875E+07;0;4.980443E+07;1.275836E+08;0;1.046348E+07;3.703672E+07;0;0;4.968669E+08;0;1.865575E+07;7.34238E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;0;0;196560;1;381024;3;184201;2;82604;0;308416;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6.635358E+07;0;1.485633E+08;0;1.523035E+07;4.586264E+07;0;4.977939E+07;1.274155E+08;0;9359942;3.889039E+07;0;0;4.776784E+08;0;2.67799E+07;7.547967E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;0;0;196560;1;381024;2;184201;1;82604;0;308416;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6.639277E+07;0;1.640942E+08;0;1.27279E+07;4.696814E+07;0;4.979379E+07;1.255969E+08;0;1.047255E+07;3.70146E+07;0;0;4.883958E+08;0;2.026896E+07;7.215976E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;0;0;196560;1;381024;1;184201;0;82604;0;308416;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6.620122E+07;0;1.51436E+08;0;1.530649E+07;4.606751E+07;0;4.972937E+07;1.283127E+08;0;9474288;3.889514E+07;0;0;4.820125E+08;0;2.547945E+07;7.513483E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
