Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
47;0;0;190324;368927;178027;79999;298178;6;15;42;0;50;0;0;0;13;0;0;0;0;0;0;0;1;54;5;11;20;0;0;0;0;0;6;0;0;1;0;0;8;0;4;32;4;9;19;577988;200072;144952;0;581171;0;0;71494;10063724637;0;202888;9595;45421;0;
48;0;0;190324;368927;178027;79999;298172;7;10;41;0;41;0;0;0;17;0;0;0;0;0;0;1;5;23;5;7;20;0;0;0;0;0;4;0;0;2;0;0;4;0;1;29;4;12;27;579053;200421;145098;0;582147;0;0;73130;10063563613;0;202435;9595;45875;0;
49;0;0;190324;368927;178027;79999;298170;5;14;50;0;56;0;0;0;13;0;0;0;0;0;0;0;4;25;4;13;17;0;0;0;0;0;0;0;0;0;0;0;2;1;0;26;6;8;23;578007;200124;144992;0;581110;0;0;71380;10063645361;0;202636;9595;45674;0;
50;0;0;190324;368927;178027;79999;298162;3;9;41;0;41;0;0;0;11;0;1;0;0;0;0;0;0;27;12;11;11;0;0;0;0;0;5;0;0;0;0;0;8;0;2;32;4;4;21;577875;200399;145028;0;581457;0;0;77680;10063454941;0;202086;9595;46224;0;
51;0;0;190324;368927;178027;79999;298157;9;12;48;0;62;0;0;0;7;0;0;0;0;0;0;1;0;27;6;6;24;0;0;0;0;0;5;0;0;1;0;0;4;0;3;21;5;10;19;578287;200046;144989;0;581087;0;0;76538;10063548279;0;202283;9595;46027;0;
52;0;0;190324;368927;178027;79999;298151;8;6;45;0;51;0;0;0;7;0;1;0;0;0;0;0;3;36;8;7;19;0;0;0;0;0;5;0;0;0;0;0;6;0;1;32;5;10;15;578136;200073;144885;0;581538;0;0;76974;10063608631;0;202346;9595;45964;0;
53;0;0;190324;368927;178027;79999;298148;4;8;49;0;52;0;0;0;9;0;0;0;0;0;0;0;3;27;9;7;24;0;0;0;0;0;7;0;0;0;0;0;3;0;3;29;6;14;18;577814;199996;144799;0;581072;1;0;77554;10063564725;0;202279;9595;46031;0;
54;0;0;190324;368927;178027;79999;298142;5;14;56;0;64;0;0;0;11;0;0;0;0;0;0;0;2;34;3;7;20;0;0;0;0;0;6;0;0;0;0;0;6;0;3;21;6;15;17;577410;200299;144784;0;580992;0;0;80750;10063507763;0;202074;9595;46237;0;
55;0;0;190324;368927;178027;79999;298138;9;8;47;0;52;0;0;0;12;0;0;0;0;0;0;0;2;21;4;10;16;0;0;0;0;0;4;0;0;0;0;0;4;0;0;30;1;9;19;577791;199917;144722;0;580609;0;0;84940;10063680189;0;202576;9595;45735;0;
56;0;0;190324;368927;178027;79999;298131;5;11;60;0;71;0;0;0;5;0;0;0;0;0;0;0;3;17;9;16;21;0;0;0;0;0;0;0;0;0;0;0;7;0;2;29;4;10;16;576578;200163;144640;0;580017;0;0;81436;10063670813;0;202550;9595;45761;0;
57;0;0;190324;368927;178027;79999;298127;8;8;47;0;54;0;0;0;9;0;0;0;0;0;0;1;1;36;6;9;18;0;0;0;0;0;7;0;0;0;0;0;4;0;3;44;12;13;14;578020;199745;144740;0;580753;0;0;85712;10063727947;0;202737;9595;45574;0;
58;0;0;190324;368926;178027;79998;298123;6;11;70;0;83;0;0;0;4;0;0;0;0;0;0;1;1;24;8;5;25;0;0;0;0;0;5;0;0;0;0;1;4;1;3;29;12;10;14;576825;200011;144522;0;580334;0;0;85860;10063846473;0;203049;9595;45262;0;
59;0;0;190324;368926;178027;79998;298119;7;9;54;0;55;0;0;0;15;0;0;0;0;0;0;0;0;25;5;7;17;0;0;0;0;0;5;0;0;0;0;0;4;0;1;26;6;14;18;577704;199719;144649;0;580549;0;0;86448;10063958779;0;203393;9595;44918;0;
60;0;0;190324;368926;178027;79998;298117;6;12;52;0;59;0;0;0;11;0;0;0;0;0;0;0;1;23;2;4;18;0;0;0;0;1;0;0;0;0;0;0;2;0;2;35;6;4;14;576013;199870;144436;0;579952;0;0;89582;10064004913;0;203461;9595;44850;0;
61;0;0;190324;368926;178027;79998;298115;6;9;53;0;62;0;0;0;6;0;0;0;0;0;0;1;2;29;8;8;34;0;0;0;0;1;4;0;0;0;0;0;2;1;3;17;7;9;18;577404;199669;144561;0;580256;0;0;88980;10063939281;0;203229;9595;45082;0;
62;0;0;190324;368926;178027;79998;298114;3;9;53;0;52;0;0;0;13;0;0;0;0;0;0;0;1;36;7;11;33;0;0;0;0;0;5;0;0;0;0;0;1;0;2;21;7;8;22;575523;199898;144483;0;579299;0;0;94208;10063924203;0;203194;9595;45117;0;
63;0;0;190324;368926;178027;79998;298111;10;9;54;0;65;0;0;0;8;0;0;0;0;0;0;0;4;31;4;10;17;0;0;0;0;0;3;0;0;0;0;0;3;0;0;32;4;3;23;577303;199782;144440;0;580070;0;0;94630;10063881241;0;203143;9595;45168;0;
64;0;0;190324;368926;178027;79998;298110;2;10;44;0;43;0;0;0;13;0;0;0;0;0;0;1;0;30;8;7;24;0;0;0;0;0;6;0;0;0;0;0;1;1;2;25;4;12;17;575799;199806;144469;0;579430;0;0;104666;10063860389;0;202954;9595;45357;0;
65;0;0;190324;368926;178027;79998;298106;5;13;52;0;57;0;0;0;13;0;0;0;0;0;0;1;1;22;5;8;24;0;0;0;1;0;3;0;0;0;0;0;4;0;1;23;6;10;24;577210;199547;144535;0;579795;0;0;95788;10063858173;0;202897;9595;45414;0;
66;0;0;190324;368926;178027;79998;298105;7;11;56;0;59;0;0;0;15;0;0;0;0;0;0;0;2;42;8;10;20;0;0;0;0;0;7;0;0;0;0;0;1;0;4;26;9;14;22;575240;199606;144352;0;579058;0;0;96588;10063864071;0;202839;9595;45472;0;
67;0;0;190324;368926;178027;79998;298101;13;25;57;0;77;0;0;0;18;0;0;0;0;0;0;0;2;28;7;9;26;0;0;0;0;1;2;0;0;0;0;0;4;1;2;21;3;8;20;576669;199495;144514;0;579397;0;0;110676;10063906463;0;203039;9595;45273;0;
68;0;0;190324;368926;178027;79998;298100;8;13;58;0;60;0;0;0;19;0;0;0;0;0;0;0;2;29;4;7;22;0;0;0;0;1;9;0;0;0;0;0;1;0;2;26;7;5;26;574820;199686;144400;0;578449;0;0;101564;10063904915;0;202981;9595;45331;0;
69;0;0;190324;368926;178027;79998;298098;9;12;48;0;54;0;0;0;15;0;0;0;0;0;0;0;1;22;8;7;22;0;0;0;0;0;6;0;0;0;0;0;2;0;3;26;7;7;18;576237;199447;144307;0;579464;0;0;100186;10063975399;0;203117;9595;45195;0;
70;0;0;190324;368926;178027;79998;298097;10;4;50;0;50;0;0;0;14;0;0;0;0;0;0;0;1;30;4;4;17;0;0;0;0;0;4;0;0;0;0;0;1;1;1;32;9;6;20;575318;199573;144393;0;578601;0;0;101582;10063936495;0;203168;9595;45144;0;
71;0;0;190324;368926;178027;79998;298097;5;11;42;0;48;0;0;0;10;0;0;0;0;0;0;0;5;38;9;10;16;0;0;0;0;1;5;0;0;0;0;0;0;0;0;29;8;7;25;576376;199358;144309;0;579174;0;0;102846;10064025291;0;203303;9595;45009;0;
72;0;0;190324;368926;178027;79998;298096;6;9;46;0;49;0;0;0;12;0;0;0;0;0;0;0;6;37;5;10;25;0;0;0;0;0;5;0;0;0;0;0;1;1;2;14;5;8;21;575160;199426;144162;0;578518;0;0;105610;10064024977;0;203349;9595;44963;0;
73;0;0;190324;368926;178027;79998;298094;5;11;44;0;46;0;0;0;14;0;0;0;0;0;0;1;1;48;5;11;27;0;0;0;0;0;3;0;0;0;0;0;2;0;2;27;5;11;32;575687;199208;144297;0;578800;0;0;112038;10064085467;0;203458;9595;44854;0;
74;0;0;190324;368926;178027;79998;298093;5;14;49;0;53;0;0;0;15;0;0;0;0;0;0;0;2;25;4;15;11;0;0;0;0;0;3;0;0;0;0;0;1;0;1;35;6;11;19;574740;199526;144248;0;578104;0;0;109650;10064004111;0;203190;9595;45122;0;
75;0;0;190324;368926;178027;79998;298090;6;11;50;0;50;0;0;0;16;0;1;0;0;0;0;0;0;27;10;11;16;0;0;0;0;0;2;0;0;0;0;0;3;0;1;31;8;7;25;575050;199205;144340;0;578351;0;0;109612;10064098075;0;203466;9595;44846;0;
