Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
27;0;0;190324;368930;178162;80053;298656;773;448;7886;0;9061;0;0;0;46;0;0;0;0;0;0;0;17;220;30;56;100;0;0;0;0;0;0;0;0;0;0;0;0;2;18;546;44;75;87;113674;63930;0;0;11018;46172;0;73858;10072863063;0;232502;9986;15578;0;
28;0;0;190324;368930;178162;80053;298656;356;253;4435;0;5015;0;0;0;29;0;0;0;0;0;0;3;14;257;31;59;92;0;0;0;0;0;0;0;0;0;0;0;0;1;13;477;32;74;65;114502;63929;0;0;10960;44991;0;75884;10073120933;0;233328;9984;14755;0;
29;0;0;190324;368930;178162;80053;298656;271;198;3327;0;3760;0;0;0;36;0;0;0;0;0;0;5;19;360;43;67;88;0;0;0;0;0;0;0;0;0;0;0;0;3;10;420;39;42;72;111455;63936;0;0;10381;45573;0;42974;10073028835;0;233021;9983;15064;0;
30;0;0;190324;368930;178162;80053;298656;201;191;2872;0;3216;0;0;0;48;0;0;0;0;0;0;19;24;724;86;72;93;0;0;0;0;0;0;0;0;0;0;0;0;1;13;411;23;52;80;113062;63935;0;0;10701;46383;0;58446;10072717635;0;232000;9982;16089;0;
31;0;0;190324;368930;178162;80053;298656;185;175;2604;0;2897;0;0;0;66;0;0;0;1;0;0;40;47;1491;160;90;172;0;0;0;0;0;0;0;0;0;0;0;0;2;10;355;18;67;71;113043;63931;0;0;10212;45921;0;77116;10072580931;0;231524;9982;16567;0;
32;0;0;190324;368930;178162;80053;298656;161;185;2525;0;2790;1;0;0;80;0;0;0;0;0;0;65;88;2574;259;130;381;0;0;0;0;0;0;0;0;0;0;0;0;0;5;341;24;55;74;113259;63929;0;0;9999;47510;0;78730;10072703039;0;231893;9982;16198;0;
33;0;0;190324;368930;178162;80053;298656;159;213;2718;0;2995;0;0;0;95;0;0;0;0;0;0;67;106;3177;298;126;654;0;0;0;0;0;0;0;0;0;0;0;0;0;7;341;24;63;70;116719;63934;0;0;9841;51083;0;78466;10073004039;0;232873;9981;15220;0;
34;0;0;190324;368930;178162;80053;298656;208;186;2683;0;2979;0;0;0;97;1;0;0;0;0;0;66;85;3155;307;164;832;0;0;0;0;0;0;0;0;0;0;0;0;1;13;335;35;63;79;118960;63933;0;0;9719;53992;0;47522;10073189931;0;233601;9981;14492;0;
35;0;0;190324;368930;178162;80053;298656;173;167;2330;0;2558;0;0;0;112;0;0;0;0;0;0;57;73;2646;288;154;1091;0;0;0;0;0;0;0;0;0;0;0;0;1;9;342;30;64;89;121030;63930;0;0;9773;56896;0;48712;10073169541;0;233514;9981;14579;0;
36;0;0;190324;368930;178162;80053;298656;163;188;2182;0;2392;0;0;0;141;0;0;0;0;0;0;37;67;2035;215;158;1184;0;0;0;0;0;0;0;0;0;0;0;0;2;11;301;26;70;85;123239;63934;0;0;9864;59016;0;69068;10072813237;0;232352;9981;15743;0;
37;0;0;190324;368930;178162;80053;298656;169;180;2327;0;2555;0;0;0;121;0;0;0;0;0;0;28;52;1729;207;152;1250;0;0;0;0;0;0;0;0;0;0;0;0;5;12;402;47;67;84;123489;63926;0;0;10009;58948;0;56090;10072663869;0;231842;9981;16253;0;
38;0;0;190324;368930;178162;80053;298656;143;154;1873;0;2048;0;0;0;122;0;0;0;0;0;0;13;54;1439;178;141;1269;0;0;0;0;0;0;0;0;0;0;0;0;10;23;563;57;64;110;123551;63928;0;0;10079;58848;0;87776;10072599895;0;231689;9981;16406;0;
39;0;0;190324;368930;178162;80053;298656;126;138;1544;0;1674;0;0;0;134;0;0;0;0;0;0;25;36;1377;166;138;1297;0;0;0;0;0;0;0;0;0;0;0;0;24;39;793;95;72;147;123278;63923;0;0;10313;58257;0;54534;10072785027;0;232272;9981;15823;0;
