Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;ExposedByStudent;ExposedByWorker;ExposedByRetired;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
56;0;0;190251;368823;178389;79849;289234;82;92;667;0;784;1;0;0;43;0;2;0;2;0;9;28;68;745;8;29;545;50;74;281;1;2;101;0;0;13;1;1;82;0;0;13;5;19;327;58;68;241;555745;199951;145924;0;554697;0;0;88728;10063899607;0;202264;10413;45489;0;
57;0;0;190250;368823;178389;79849;289172;81;113;773;0;897;4;0;0;57;0;1;0;1;0;7;34;66;867;9;29;524;56;50;273;1;0;103;0;0;15;1;0;55;0;0;7;7;26;351;53;51;255;555082;199851;146068;0;554993;0;0;143224;10063897701;0;202248;10413;45505;0;
58;0;0;190250;368823;178389;79849;289144;70;110;716;0;832;0;0;0;52;0;0;0;0;0;12;25;77;794;13;26;483;61;58;245;0;2;116;0;0;5;0;0;26;0;0;2;5;25;356;52;51;238;555910;200125;146024;0;555017;0;0;85854;10063869869;0;202299;10413;45454;0;
59;0;0;190247;368820;178387;79848;289097;85;120;678;0;830;0;0;0;33;0;3;0;2;0;15;31;94;758;10;29;489;61;69;300;1;0;101;0;0;10;3;3;40;0;0;7;8;26;384;41;65;235;554811;200082;146018;0;554578;0;0;86192;10063818555;0;202015;10413;45738;0;
60;0;0;190247;368819;178386;79848;289060;81;90;657;0;770;0;0;0;35;0;5;0;4;0;14;29;82;717;13;23;460;55;75;243;1;0;71;0;2;11;0;1;28;0;0;9;10;25;459;55;58;266;555682;200038;146066;0;554912;0;0;87744;10063757005;0;201820;10413;45933;0;
61;0;0;190246;368818;178386;79847;289019;82;96;685;0;791;2;0;0;53;0;1;0;4;0;12;22;107;734;7;25;481;79;83;231;0;0;50;0;0;11;1;1;32;0;0;9;13;25;425;52;56;265;554678;199879;146074;0;554301;0;0;90168;10063715343;0;201424;10413;46329;0;
62;0;0;190246;368817;178386;79847;288967;82;82;623;0;733;1;0;0;34;0;3;0;1;0;15;21;76;690;5;18;474;79;72;266;1;1;34;0;1;7;0;1;48;0;0;4;6;22;462;40;62;257;555656;199880;146018;0;554272;0;0;90962;10063608155;0;201173;10413;46580;0;
63;0;0;190245;368816;178386;79847;288903;66;89;613;0;705;2;2;0;40;0;2;0;1;0;16;32;55;681;13;35;434;66;73;274;2;0;17;0;0;12;1;1;56;0;0;8;13;29;441;74;56;276;554799;199925;145990;0;554127;0;0;92206;10063628681;0;201075;10413;46678;0;
64;0;0;190245;368815;178386;79847;288826;79;108;903;0;1034;2;1;0;29;0;2;0;2;0;20;27;52;1011;6;20;435;75;76;259;0;0;6;0;0;9;0;1;73;0;0;4;11;29;437;56;76;257;555612;199948;145981;0;554582;0;0;90478;10063568401;0;200907;10413;46846;0;
65;0;0;190245;368814;178385;79847;288733;58;89;577;0;688;1;0;0;18;0;2;1;2;0;12;13;39;672;8;32;401;64;66;284;0;0;0;0;1;4;0;1;87;0;0;6;13;31;438;61;55;292;554735;199878;146043;0;554229;0;0;91862;10063691521;0;201362;10413;46391;0;
66;0;0;190244;368812;178384;79847;288646;61;81;728;0;824;1;0;0;24;0;2;0;1;0;18;16;88;766;5;41;402;64;63;259;0;0;0;0;1;7;1;2;78;0;0;9;9;23;424;53;64;269;555442;199934;146064;0;554719;0;0;94518;10063867911;0;201824;10413;45929;0;
67;0;0;190244;368811;178384;79846;288551;58;99;722;0;844;0;0;0;16;0;4;0;4;0;11;19;91;769;13;33;393;56;65;263;0;0;0;0;0;5;0;0;86;0;1;9;8;25;400;59;56;270;554858;199900;145987;0;554368;0;0;96676;10064177699;0;202819;10413;44934;0;
68;0;0;190243;368809;178382;79846;288452;61;89;774;0;893;1;0;0;16;0;2;0;2;0;10;21;65;838;9;24;398;78;54;269;0;0;0;0;1;12;1;2;88;0;0;11;10;23;375;59;69;255;555311;199899;145977;0;554365;0;0;99622;10064273091;0;203099;10413;44654;0;
69;0;0;190243;368809;178382;79846;288346;80;109;1037;0;1192;1;1;0;15;0;1;0;5;0;11;15;80;1131;4;15;441;73;78;273;0;0;0;0;0;12;0;0;98;0;0;8;10;26;407;62;71;246;554485;199818;145987;0;554530;0;0;101496;10064463215;0;203617;10413;44136;0;
70;0;0;190243;368809;178382;79846;288260;62;106;892;0;1011;1;0;0;26;0;4;0;4;0;14;12;80;968;7;26;435;60;70;282;0;0;15;0;0;20;0;0;77;0;0;9;7;26;382;69;74;253;555153;200013;146081;0;554533;0;0;127788;10064486863;0;203796;10413;43957;0;
71;0;0;190242;368809;178382;79846;288209;66;79;806;0;927;0;0;0;10;0;1;0;3;0;10;12;74;865;10;27;475;52;73;274;0;0;22;0;0;13;1;0;41;0;0;10;4;29;423;82;88;246;554216;199933;146010;0;554817;0;0;103326;10064533967;0;203889;10413;43864;0;
72;0;0;190242;368809;178382;79846;288168;69;120;1166;0;1311;2;0;0;19;0;5;0;5;0;13;19;85;1251;4;34;497;60;65;265;0;0;34;0;0;6;0;0;35;0;0;6;6;28;401;66;67;263;554667;199914;146034;0;554597;0;0;101968;10064619563;0;204204;10413;43549;0;
73;0;0;190241;368809;178382;79846;288144;85;104;1026;0;1166;0;0;0;31;0;1;0;3;0;14;22;76;1117;6;32;536;54;72;280;0;0;48;0;0;7;1;0;20;0;0;4;12;32;419;59;69;259;554132;199950;146046;0;554414;0;0;117714;10064602795;0;204240;10413;43513;0;
74;0;0;190240;368809;178382;79846;288121;85;109;860;0;1009;2;1;0;29;0;1;0;3;0;9;13;81;960;11;28;574;52;70;282;2;1;63;0;0;10;1;0;15;0;0;8;5;28;429;76;54;228;554183;199967;146115;0;553651;0;0;195250;10064716893;0;204205;10413;43548;0;
75;0;0;190240;368809;178382;79846;288111;90;104;715;0;862;2;1;0;28;0;2;0;2;0;12;16;105;788;8;20;579;70;65;270;0;1;65;0;0;9;0;0;5;0;0;5;9;30;382;66;73;278;554293;199880;145996;0;553906;0;0;194478;10064664623;0;204059;10413;43694;0;
76;0;0;190239;368809;178382;79846;288102;76;90;691;0;811;1;0;0;32;0;5;0;3;0;5;18;69;770;9;32;559;62;71;318;0;0;81;0;0;10;1;0;5;0;0;4;10;23;403;65;73;245;554245;199895;146074;0;553576;0;0;108514;10064705309;0;204207;10413;43546;0;
77;0;0;190239;368809;178382;79846;288086;70;107;686;0;821;3;2;0;25;0;0;1;1;0;10;26;61;776;15;37;571;61;67;339;1;3;78;0;0;16;0;0;3;0;0;13;10;27;401;61;57;291;554124;200024;145987;0;553669;0;0;109110;10064488145;0;203694;10413;44059;0;
78;0;0;190239;368809;178382;79846;288074;70;99;626;0;748;1;0;0;31;0;0;0;2;0;13;20;59;716;18;29;587;62;69;351;2;0;120;0;0;9;0;0;6;0;0;6;6;27;431;63;77;275;553953;199837;146217;0;553491;0;0;109604;10064556141;0;203721;10413;44032;0;
79;0;0;190239;368809;178382;79846;288066;64;107;581;0;699;1;0;0;40;0;1;0;1;0;10;20;69;663;15;40;582;51;74;314;1;1;91;0;0;7;0;0;5;0;0;3;5;28;422;56;66;273;553542;199991;145902;0;553640;0;0;114350;10064458325;0;203580;10413;44173;0;
80;0;0;190239;368809;178382;79846;288041;78;93;852;0;961;1;1;0;46;0;1;0;3;0;10;32;76;915;12;30;592;72;80;276;2;0;97;0;0;14;0;0;19;0;0;6;8;27;439;59;55;280;553521;199933;146078;0;553077;0;0;113522;10064538371;0;203624;10413;44129;0;
81;0;0;190238;368809;178382;79846;288007;92;120;775;0;929;3;1;0;38;0;1;0;2;0;13;20;92;875;17;34;535;61;69;301;0;3;77;0;0;8;1;0;28;0;0;6;9;26;472;57;67;277;553198;199907;145921;0;553280;0;0;122600;10064620719;0;203968;10413;43785;0;
82;0;0;190238;368809;178382;79846;287965;73;113;720;0;863;2;0;0;26;0;2;0;1;0;12;20;75;811;16;29;446;62;63;305;2;1;20;0;0;10;0;0;34;0;0;8;6;30;510;69;78;279;553752;200043;146130;0;552769;0;0;127662;10064631653;0;203934;10413;43819;0;
83;0;0;190238;368808;178382;79845;287895;101;95;793;0;936;1;1;0;37;0;3;0;2;0;9;27;61;901;12;31;390;58;79;246;0;1;13;0;1;13;0;1;60;0;0;10;4;30;481;59;68;310;553093;199864;145884;0;553136;0;0;119292;10064649479;0;203883;10413;43870;0;
