Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
104;0;0;189390;366539;176743;79653;266446;55;119;52;0;201;8;6;0;0;0;1;0;2;0;8;11;10;3;21;41;13;23;68;36;0;0;0;0;0;0;15;65;72;98;137;33;5;7;30;0;6;7;9;20;94;0;1;7;30;116;77;195;315;92;533839;193187;141735;0;533630;0;0;150596;10065461253;0;204242;10190;43407;0;
105;0;0;189379;366506;176735;79639;266356;74;85;76;0;205;9;13;0;0;0;0;0;2;0;6;15;3;2;24;42;32;35;40;42;0;0;0;0;0;0;16;65;67;98;123;43;5;10;33;1;4;4;11;31;84;0;2;6;23;107;82;172;292;69;533526;193143;141733;0;533083;0;0;152104;10065455845;0;204384;10190;43265;0;
106;0;0;189371;366487;176725;79635;266277;62;150;60;0;249;5;8;0;0;0;0;0;4;0;6;11;13;5;23;53;20;28;84;35;0;0;0;0;0;0;20;58;67;93;142;39;3;6;23;1;2;8;8;18;73;0;1;6;27;105;89;175;246;87;533680;193173;141606;0;533317;0;0;155534;10065538575;0;204494;10190;43156;0;
107;0;0;189368;366469;176713;79633;266211;46;80;49;0;154;9;5;0;0;0;0;0;4;0;3;7;4;4;11;28;12;28;48;33;0;0;0;0;0;0;10;41;46;62;101;28;2;4;23;0;4;3;3;17;62;0;1;4;18;98;61;159;257;69;533389;193033;141799;0;533149;0;0;153600;10065527945;0;204357;10190;43293;0;
108;0;0;189362;366453;176706;79630;266148;35;98;29;0;147;10;3;0;0;0;0;0;0;0;2;6;11;3;12;46;12;17;41;14;0;0;0;0;0;0;17;42;50;60;100;12;1;8;12;0;1;10;5;15;59;1;1;4;28;80;68;124;226;43;533582;193083;141618;0;532970;0;0;155286;10065469417;0;204130;10190;43520;0;
109;0;0;189357;366446;176703;79629;266103;45;90;39;0;150;12;5;0;0;0;0;0;1;0;6;9;6;3;14;38;14;22;46;22;0;0;0;0;0;0;11;38;47;66;73;26;4;3;11;1;3;8;5;6;38;0;1;7;14;83;43;152;206;61;533208;192985;141657;0;532571;0;0;202250;10065501689;0;204180;10190;43470;0;
110;0;0;189352;366437;176699;79626;266041;46;62;37;0;119;7;5;0;0;0;2;0;3;0;9;6;3;3;22;30;10;18;29;24;0;0;0;0;0;0;10;35;41;56;92;27;3;2;16;1;4;4;5;9;57;0;0;5;20;70;44;125;161;52;533383;193092;141569;0;532732;0;0;205030;10065387811;0;203858;10190;43792;0;
111;0;0;189349;366424;176692;79624;265998;28;59;27;0;102;0;5;0;0;0;0;0;1;0;6;7;4;1;8;16;3;13;39;23;0;0;0;0;0;0;8;32;46;51;69;25;1;3;12;3;4;9;2;10;36;1;3;7;20;67;46;121;174;59;533156;192954;141676;0;532520;0;0;196074;10065456213;0;204045;10190;43605;0;
112;0;0;189344;366420;176690;79623;265949;37;46;27;0;100;4;4;0;0;0;0;0;2;0;0;6;1;2;9;20;7;22;25;18;0;0;0;0;0;0;11;26;37;52;89;11;2;3;16;1;2;6;5;4;43;0;0;6;11;56;38;97;162;39;533194;192958;141379;0;532570;0;0;161026;10065439197;0;203850;10190;43800;0;
113;0;0;189340;366407;176682;79620;265903;24;32;16;0;60;3;4;0;0;0;1;0;0;0;4;7;3;1;7;20;8;10;9;7;0;0;0;0;0;0;4;27;29;44;75;17;1;4;7;0;1;9;4;12;42;0;1;4;15;65;52;88;163;46;532872;192846;141669;0;532414;0;0;163292;10065497569;0;204002;10190;43648;0;
114;0;0;189332;366397;176676;79618;265874;24;27;14;0;59;0;4;0;0;0;0;0;0;0;2;8;1;0;11;13;7;5;13;7;0;0;0;0;0;0;8;27;32;39;53;12;0;2;6;0;0;9;8;10;26;0;0;3;15;56;23;97;154;38;532799;192828;141359;0;532491;0;0;163772;10065539689;0;204135;10190;43515;0;
115;0;0;189329;366388;176674;79615;265834;25;34;14;0;59;4;6;0;0;0;0;0;0;0;4;11;7;3;6;13;4;8;14;7;0;0;0;0;0;0;5;31;25;38;55;13;2;6;7;0;4;9;3;8;32;0;1;8;11;50;30;74;118;41;532624;192756;141702;0;532259;0;0;165838;10065663685;0;204465;10190;43185;0;
116;0;0;189326;366384;176672;79614;265808;21;33;17;0;64;4;3;0;0;0;0;0;0;0;0;9;5;4;9;22;8;3;6;5;0;0;0;0;0;0;6;21;23;26;48;13;1;0;7;1;1;8;3;3;22;0;1;4;13;49;31;87;113;30;532353;192761;141147;0;532193;0;0;330720;10065794345;0;204736;10190;42914;0;
117;0;0;189323;366380;176668;79614;265782;11;22;12;0;40;2;3;0;0;0;0;0;0;0;0;3;2;1;3;12;7;5;8;4;0;0;0;0;0;0;8;27;25;27;42;14;0;0;2;1;2;8;3;3;20;0;1;6;9;39;25;77;106;21;532603;192683;141610;0;531906;0;0;170410;10065763631;0;204871;10190;42779;0;
118;0;0;189316;366373;176666;79612;265754;16;24;15;0;48;3;4;0;0;0;0;0;0;0;0;4;3;1;9;9;6;3;12;8;0;0;0;0;0;0;5;16;18;28;32;6;0;1;3;2;2;2;7;7;18;0;0;10;11;38;29;64;101;29;532022;192801;141288;0;531944;0;0;168406;10065743113;0;204909;10190;42741;0;
